Real-time data - subject to revision
Copyright Environment Canada(2023)

"Real-Time Hydrometric Data for STUART RIVER NEAR FORT ST. JAMES (08JE001) [BC]"

08JE001,"STUART RIVER NEAR FORT ST. JAMES"
Description of parameters:
5,"Water temperature (No Quality Assurance)",°C

Date (PST),Parameter ,Value(°C)
2022-09-08 02:00:00,5,15.05
2022-09-08 03:00:00,5,14.65
2022-09-08 04:00:00,5,14.64
2022-09-08 05:00:00,5,14.53
2022-09-08 06:00:00,5,14.39
2022-09-08 07:00:00,5,14.43
2022-09-08 08:00:00,5,14.44
2022-09-08 09:00:00,5,14.19
2022-09-08 10:00:00,5,14.54
2022-09-08 11:00:00,5,14.86
2022-09-08 12:00:00,5,15.05
2022-09-08 13:00:00,5,15.38
2022-09-08 14:00:00,5,15.7
2022-09-08 15:00:00,5,16.08
2022-09-08 16:00:00,5,16.33
2022-09-08 17:00:00,5,16.52
2022-09-08 18:00:00,5,16.6
2022-09-08 19:00:00,5,16.49
2022-09-08 20:00:00,5,16.39
2022-09-08 21:00:00,5,16.25
2022-09-08 22:00:00,5,16.08
2022-09-08 23:00:00,5,15.89
2022-09-09 00:00:00,5,15.77
2022-09-09 01:00:00,5,15.57
2022-09-09 02:00:00,5,15.28
2022-09-09 03:00:00,5,15.1
2022-09-09 04:00:00,5,14.92
2022-09-09 05:00:00,5,14.63
2022-09-09 06:00:00,5,14.48
2022-09-09 08:00:00,5,14.47
2022-09-09 09:00:00,5,14.59
2022-09-09 10:00:00,5,14.8
2022-09-09 11:00:00,5,15.17
2022-09-09 12:00:00,5,15.59
2022-09-09 13:00:00,5,16.04
2022-09-09 14:00:00,5,16.49
2022-09-09 15:00:00,5,16.94
2022-09-09 16:00:00,5,17.34
2022-09-09 17:00:00,5,17.57
2022-09-09 18:00:00,5,17.47
2022-09-09 19:00:00,5,17.04
2022-09-09 20:00:00,5,16.54
2022-09-09 21:00:00,5,16.29
2022-09-09 22:00:00,5,16.16
2022-09-09 23:00:00,5,15.95
2022-09-10 00:00:00,5,15.85
